SERVICIO;PAIS;POSTAL_INICIAL;POSTAL_FINAL;PESO;IMPORTE
ASM10;ES;01000;06999;2;8.88
ASM10;ES;01000;06999;5;9.71
ASM10;ES;01000;06999;10;10.62
ASM10;ES;01000;06999;999999;0.95
ASM10;ES;07000;07999;1;10.1
ASM10;ES;07000;07999;2;12.3
ASM10;ES;07000;07999;5;14.61
ASM10;ES;07000;07999;10;16.12
ASM10;ES;07000;07999;999999;2.55
ASM10;ES;08000;34999;2;8.88
ASM10;ES;08000;34999;5;9.71
ASM10;ES;08000;34999;10;10.62
ASM10;ES;08000;34999;999999;0.95
ASM10;ES;35000;35999;1;12
ASM10;ES;35000;35999;999999;5.58
ASM10;ES;36000;37999;2;8.88
ASM10;ES;36000;37999;5;9.71
ASM10;ES;36000;37999;10;10.62
ASM10;ES;36000;37999;999999;0.95
ASM10;ES;38000;38999;1;12
ASM10;ES;38000;38999;999999;5.58
ASM10;ES;39000;50999;2;8.88
ASM10;ES;39000;50999;5;9.71
ASM10;ES;39000;50999;10;10.62
ASM10;ES;39000;50999;999999;0.95
ASM10;ES;51000;52999;1;20.69
ASM10;ES;51000;52999;999999;4.37
ASM14;ES;01000;06999;2;8.88
ASM14;ES;01000;06999;5;9.71
ASM14;ES;01000;06999;10;10.62
ASM14;ES;01000;06999;999999;0.95
ASM14;ES;07000;07999;1;10.1
ASM14;ES;07000;07999;2;12.3
ASM14;ES;07000;07999;5;14.61
ASM14;ES;07000;07999;10;16.12
ASM14;ES;07000;07999;999999;2.55
ASM14;ES;08000;34999;2;8.88
ASM14;ES;08000;34999;5;9.71
ASM14;ES;08000;34999;10;10.62
ASM14;ES;08000;34999;999999;0.95
ASM14;ES;35000;35999;1;12
ASM14;ES;35000;35999;999999;5.58
ASM14;ES;36000;37999;2;8.88
ASM14;ES;36000;37999;5;9.71
ASM14;ES;36000;37999;10;10.62
ASM14;ES;36000;37999;999999;0.95
ASM14;ES;38000;38999;1;12
ASM14;ES;38000;38999;999999;5.58
ASM14;ES;39000;50999;2;8.88
ASM14;ES;39000;50999;5;9.71
ASM14;ES;39000;50999;10;10.62
ASM14;ES;39000;50999;999999;0.95
ASM14;ES;51000;52999;1;20.69
ASM14;ES;51000;52999;999999;4.37
ASM24;ES;01000;06999;2;5.25
ASM24;ES;01000;06999;5;7.05
ASM24;ES;01000;06999;10;7.84
ASM24;ES;01000;06999;15;8.75
ASM24;ES;01000;06999;20;10.02
ASM24;ES;01000;06999;30;13.18
ASM24;ES;01000;06999;999999;0.89
ASM24;ES;07000;7999;1;10.1
ASM24;ES;07000;7999;2;12.3
ASM24;ES;07000;7999;5;14.61
ASM24;ES;07000;7999;10;16.12
ASM24;ES;07000;7999;999999;2.55
ASM24;ES;08000;34999;2;5.25
ASM24;ES;08000;34999;5;7.05
ASM24;ES;08000;34999;10;7.84
ASM24;ES;08000;34999;15;8.75
ASM24;ES;08000;34999;20;10.02
ASM24;ES;08000;34999;30;13.18
ASM24;ES;08000;34999;999999;0.89
ASM24;ES;35000;35999;1;12
ASM24;ES;35000;35999;999999;5.58
ASM24;ES;36000;37999;2;5.25
ASM24;ES;36000;37999;5;7.05
ASM24;ES;36000;37999;10;7.84
ASM24;ES;36000;37999;15;8.75
ASM24;ES;36000;37999;20;10.02
ASM24;ES;36000;37999;30;13.18
ASM24;ES;36000;37999;999999;0.89
ASM24;ES;38000;38999;1;12
ASM24;ES;38000;38999;999999;5.58
ASM24;ES;39000;50999;2;5.25
ASM24;ES;39000;50999;5;7.05
ASM24;ES;39000;50999;10;7.84
ASM24;ES;39000;50999;15;8.75
ASM24;ES;39000;50999;20;10.02
ASM24;ES;39000;50999;30;13.18
ASM24;ES;39000;50999;999999;0.89
ASM24;ES;51000;52999;1;19.98
ASM24;ES;51000;52999;999999;4.1
ECONOMY;ES;0;99999;999999;15